,review title,job title,job location,date,description,pros,cons
209,Ambiente de trabajo,Gerente Adjunto Proyecto,Apurimac,"July 24, 2015","Inicio de jornada muy temprano, pero con recompensas durante la misma como el trabajo en equipo.Persistencia, compromiso y responsabilidad con el trabajo son referencias de los trabajadores.Alejado de la ciudad.La camaradería y esparcimiento es resaltante.","Eps, beneficios corporativos",Lejanía del campamento
211,Procductive and fun workplace,Contracter (Busar electrical engineering),"Rustenburg,North west","July 23, 2015","Everyday was busy. learned to work with people, despite the age difference. I learned to respect different cultures and ask more about them.I have never experienced the hardest part of the job since there team work with enthusiasm and positive energy.the most enjoyable part of the job is managing to solve the problem and moving to  the next task.",Free Lunches,Long hours
212,Productive,Shiftboss,Brits,"July 6, 2015",Very good company to work for.Start at 6am every morning with meetings and planning for the dayHardest part of the job is getting the machinery fixed and to carry on with the work and to make target,Very good company to work for,far
213,Productive and challenging work schedule,Despatch Packer and Supervisor,"Bethanie Brits, North West","June 29, 2015","Checking storage areas and stockHolding pre-shift meetings with teamAllocating work codes to teamAnticipating diviations from targets and counter-acting themOverseer processes physical and over scada control on computerEnsure safety all the way, discouraging short-cuts which results into injuries.",bonuses and overtime,long hours of close to 16hours preparing last-minute client orders
214,Productive and good remuneration and incentives and fun place to work for.,Mechanical Fitter,"Witbank, MP","June 6, 2015","A very safety conscious team and management. Initiate a safety related working environment and culture. Productive personality  with good incentives and goal driven.Learnt to co-operate with all different races, gender and different people from other cultures. Workers are productive and always willing to help each other.Working shifts and standbys and with such tremendous pressure and cold or hot environment sometimes. Enjoyed working and be in control of the situation. Always motivated to be the best and friendly environment.my co-workers are creative and understanding and always strive to achieve the best both in production and safety.",Safety bonuses and incentives.,Working under pressure of breakdowns and production loss.
215,"Solid work environment, great learning experience",Maintenance Planner,NT Australia,"May 28, 2015","good company really, the site I was on was being dragged into the modern era by its boot straps.  There was a lot of resistance but overall the company was ok", , 
216,Environnement de travail agréable,"Stage en génie mécanique(Planificateur, entretien)",Salaberry de Valleyfield,"May 11, 2015","Bonne entreprise, employés respectueux et ouverts à nouvelles idées, bon plan de carrière.", , 
217,Productive company,Furnace Operator/ Controller,"Lydenburg, MP","May 11, 2015","Challenging, hands on, physically demanding, heat and dust exposure, learnt to take initiative and be innovative, stubborn co workers.",reasonable working hours,not rewarding
218,Productive,control room clerk,"Witbank, MP","May 10, 2015",Everyday was a great day at wok.Ive learned to be a leader and with many individuals.I enjoy running the operation when Iam at office,No Pros,In need of a deadline
219,Very productive and a fun working environment with lot of growth in terms of career.,Lab Assisstant (Trainee),"Brits, NW","April 29, 2015",Good company with good safety standards.  Good laboratory services.  I learned a lot in this company far as analysis is concerned with Nice lab instruments.,Safe working environment with good safety protocols,long hours
220,Colleagues great; higher management team &advancement lacking,Electrical Planner & Support Engineer,"Newlands, QLD","March 31, 2015","Each day began with checking on emails and a morning meeting, discussing production for the previous 24 hours and maintenance issues.  Also discussed the maintenance tasks and production tasks for the next 24 hours.  Role was planning and scheduling of electrical tasks and engineering support.  Involved job allocations, product procurement, planning and budgeting.  Safety analysis' were completed and site inspections and visiting job sites of my workers to check on progress.  Engineering support included paperwork, calculations, site supervision, assisting with installations/alterations. My co-workers were generally easy to get along with and communicating and interacting with them was the most enjoyable part of my day.  The hardest part of the job was prioritising work with others from different departments, as everyone thought their jobs were most important.",great salary; lots of experience to learn from,long hours; not enough labour; minimal chance for advancement; no recognition
221,production and optimization,Trainee enginer,"Steelpoort, LP","March 27, 2015","working for more than 16 hours during kiln shutdown, this is because you not given enough time because we must produce metals, so the company can't afford to give us more than. I have learned to work under pressure and also to priorities and also I've learned how to work with different people, especially people who are older than me in age but not in profession and also how to avoid conflicts with my colleagues.during my 1st call standby I learned how to manage the plant and people at the same time and how to compile production report and down times/breakdowns.to make top management listen to you and make them believe you the right man to bring good results.most part I enjoy is when you given a chance to make changes to the operation and when you have reached a target with looses, we all know that the big focus is on the money, so if you can be able to save and still produce quality the you the right person for the job and also I love managing people and guide them. a good leader is seen through the people under him or her.",team building,toomuch work at the same time or doing somone's job
222,HSE Manager,HSE Manager,South Africa,"March 10, 2015","Permits and license, stakeholder engagement, financial management, project management. learned to manage and lead a team (Department), work in a team, work alone, improve interpersonal skills. exposure to various system (GRI reporting). hardest part has always been travelling.",Exposure,time management
223,My supervisor was great,Laundry Attendant,"Mount Isa, QLD","March 5, 2015","Good pay, great roster. The management was very good to me. They need to get rid of the lazy workers and their dramas. Job wasn't hard at all but the lazy ones made it hard.",My supervisors are nice,lazy workers
224,"A well organised, productive, perfectly educational company that provides discipline, team-work and fairness amongst individuals",Chemical Engineering In-service Training Student,"Brits, North West","February 26, 2015","Glencore Rhovan brought out the best in me, in a daily basis I had the opportunity to tackle new challenges and learn thoroughly about the plant. I was provided the opportunity to learn about basic plant operations, I was exposed to safety, health and environmental responsibility training, developing process flow diagrams and had exposure in the operation of programmable logic computer. I developed a vital character of working in a group, and during this time a sense of leadership skills was developed.Working at the plant enabled me to inter-act with different individuals,  that helped me to grow stronger as a character, the individuals were highly helpful and supportive.","Great management, vital learning experience and great career growth",N/a
225,Excelente empresa.,Empleado Administrativo,"San Isidro, Buenos Aires","February 23, 2015","Empresa multinacional donde prima la cordialidad y el profesionalismo, el compañerismo y el desarrollo individual-personal, en pos del mejor rendimiento de los negocios.",Todo,Ninguno
226,Contracts Lead,"Contracts Lead, Supply Chain Department","Calgary, AB","February 20, 2015","	Providing leadership and training to team members, participate in performance management and recruitment 	Development of Contracting Plans 	Preparation and management of Contracts, MSAs, and RFQs, Change Orders and Work Orders 	Collaborating with the Engineering and Project Management team to ensure all aspects of project is covered 	Negotiating with contractors and vendors re: terms and conditions / pricing and rates 	Managing contractor relationships (cradle to grave) 	Developing and implementing new templates, policies and procedures 	Liaise with in-country personnel to coordinate contract negotiations and agreements", , 
227,A secure safe feel at home environment with a lot of presure,Tyre/Service bay controller,"Middelburg, MP","February 20, 2015","A typical day at work we start at 06h00 where all employees will gather an we will start with a safety meeting followed by daily planned task descriptions. the people will start with good house keeping while they wait for the machines to come in for daily services. I will attend to all legal requirements, orders threw SAP, meetings and spot checks on the people during the day.I learned with respecting all kinds of cultures and people and good communication you can move mountains with a small group.Managing strict and according to procedures employees know where they stand and there are no double standards.My co-workers respects me for been humanly towards them and they will go out of there way to assist if a problem arises.The hardest side is the legal side when you must take charge and counsel or complain an employee.The most enjoyable part would be to sit back and see there is a happy employer and happy management and  a strong team delivering on the tasks at hand.",Job satisfaction,Standby call outs
228,Quality workplace with lots of opportunities.,Mechanical Engineer,"Muswellbrook, NSW","February 17, 2015",An enjoyable and challenging place to work with great people. Glencore is a great company to work for and I thoroughly enjoy it., , 
229,Highly Diverse Industrial Establishment,Information Technician,"Timmins, ON","February 7, 2015","I worked as an information technology technician for two summers. I woke up at 5am and car pooled to the mine with my father and four other miners.  Worked from 6:30am until 3:30pm.It was a highly social job. I was always in contact with different employees in every department at the mine. I worked in the main office building with managers, engineers, technicians, technologist, geologists, blasters, electrical, surveyors, and I was always learning something new each day. I enjoyed this probably the most because the mining industry is a very complex and interesting field.It was a rough neck and intellectual work environment that I thourougly enjoyed being a part of for two summers.",Go at own pace,Lots of down time
230,productive,Tip Attendant,"Burgersfort, LP","February 5, 2015","i leanerned to adoptet culture, it has a very afficient management, working together as a teame we can archieve at the  end of the day",team building,none
232,Great workplace. Consolidated my knowledge and experience of diesel fitting here.,Diesel Fitter,"Mount Isa, QLD","February 1, 2015","- Carry out services and reapirs on underground machinery in the underground workshop or down in the orebody carrying out breakdown repairs.- Learned a lot about machine systems, especially hydraulics. Also learned much about underground hard rock mining from working with mining personnel each shift.- Management were assertive and supportive. Easily contactable with any issues.- Had an excellent crew of experienced fitters.- Some of the breakdowns in the orebody.- Getting out in the orebody, putting knowledge learned to practise and get a better understanding of machine systems. Operating the machines with the operators to get a better understanding of each machine.",Good work/life balance,Old mine site. Some plant equipment unreliable.
233,Attending Warranties by the Suppliers,Rotables Supt,"Witbank, MP","January 16, 2015",Managing Suppliers Repairable process and procedure according to Mine StandardManaging EmployeesI've learned to be consistency  Excellent communication via management meetingsMy co-workers Excellent team work and transparency and supportiveHardest its when we do Stock taking and stock doesn't balanceIts when we have a quite day with no Break downs and all spares available in  stock especially critical stock, , 
234,Ambiente de trabajo,Ing. Junior de Planeamiento Mina,"Cusco, CUS","January 12, 2015",muy bueno y con mucha colaboración por parte de los compañeros para el trabajo.,seguro medico,administracion de personal
235,4 years and It was Ok.,Operator Tech 1 - Pb-Sm Blast Furnace,"Mount Isa, QLD","December 30, 2014","Well there isn't  a lot to say really, working in a Blast Furnace in the middle of the desert is not exactly enjoyable, but the money and people were great.My reason for leaving was the town the job was located at, Mount Isa, does not have a lot for my children to expand there intrests as it is a very industrial town.Left on good terms and with a lot of missed people. Good people and money.",Money and People,"Hot, and Sometimes very very hard work."
236,Interesting,employee,Calgary AB,"December 5, 2014","working here is interesting and confusing for the most part. There are no policies in place, they function complety backwards in the supply process. I find people unfriendly most days, this is very strange to me. Management does not acknowledge employees at all unless you are the pet. there is a lot of back stabbing and ""he said she said"". I dont like feeling like I am in high school.",wages,cold shoulders
237,"it was exciting to work ther, the early morning shifts where i got to interact with the operators of trucks it was very informative",Vacation work,"Witbank, MP","December 5, 2014","a typical day at this complex will start by a visit to the site, where I take cycle times, and each operator that I work with always gives for my project and it helped me improve on the project. I have learnt that in any saving a second is so valuable and it can in turn reduce costs of a company. The management people were very interactive and I got to ask questions were I could not understand, and my work was always evaluated. The hardest part of the job was being able to understand the day to day activities and managing my time efficiently to finish each task",A chance to work with different employees daily, 
238,Under ground mining,Electriciam,"Mount Isa, QLD","November 24, 2014","working underground offers many challenges, logistics is one of the hardest getting the parts required on time. The work place has a high degree of danger and every job is evaluated and all risks considered before starting work. Coworkers are very motivated and friendly to work with. The most enjoyable part of work is seeing equipment running to the best of the design.",highly satisfying work.,hot dangerous work
239,My day at Mangoola,Stores/Purchasing,"Muswellbrook, NSW","November 19, 2014","A great place to learn and grow your skills and experience, a place where you can expand on your knowledge and also a place were you can bring your experience to.",Great Conmunication,Long days
240,"Work hard, play harder",Trade Support Analyst,"Stamford, CT","November 3, 2014","If you get into the right department, you'll love the company. There's the fun ones, the too serious ones, the ok ones, the workaholics ones. Take your pick.","Free sodas, and yes, water, coffee, and juice", 
241,"One door closes,another opens",Underground Mining Technician,"Ravensworth, N.S.W.","October 24, 2014","Great company to work for, employed for near 8 years, proud to be part of their team. Unfortunately I'm becoming redundant, but they have put good supports in place and doing all that's possible to keep their workers positive about the future. I'm hoping to remain working for the mining industry . I am very keen to try opencut, having learnt many tasks down under, I enjoyed the challenges that I was shown & taught and I'm now seeking new challenges. I was very lucky to meet and work with great people, felt valued and well looked after, especially safety wise. Hard, dirty, I took on any task that was asked of me, like everyone else, accomplishing results and being a team player felt good, especially the well earned shower.","Good team, approachable bosses.",Mine close
242,Fast paced corporate environment,Accounts Reconciliations Assistant,"London, ENG","October 21, 2014","I worked as a contractor assigned to assist with open items that migrated over from the old accounting system. My typical day at work was running an open items report and going through vendors' accounts with large open items' balances. I had to locate the item, query its status and then query other departments for its status, the potential error and its correction when necessary. The accounts team is large but managed in smaller units with team leaders. All staff is hard working, incredibly knowledgeable and putting the extra hours when necessary. Problem solving and adhering to deadlines was important so good team work was always present, which made hard days a pleasure to work with my team.The hardest part of the job was to familiarise oneself with the operations matrix so that queries could be allocated and solved efficiently. It is a very dynamic and fast changing environment.Most enjoyable part of the job was to familiarise oneself with a massive commodities company, their procedures and ever changing pace.",Good team support,Long hours
243,"safety, productive and friendly workplace with relaxing and workout area",water treatment and power plant operator.,"Caledonia, WI","October 15, 2014","A typical day at work: Starting with a complete checking of the installation, searching damage and failures followed by troubleshooting. doing reports,  water analysis request and monitoring all systems and equipments.what i've learned: handling the routine.management: task planning and its distribution, delegating functions in order to accomplish our goals.my co-workers: maintaining a friendship relation and the respect to each other.The hardest part of the job: handling with general electric trip (blackout).The most enjoyable part of the job: finish each working day with zero harm.", ,Health care and educational assistance
244,intense UG mining operations,Production Engineer,mount isa,"October 12, 2014","please see previous reviewsgreat place to work, great people,  very remote",annual bonus,remote location
245,Infraestructura agradable y comoda.,Analista Senior de Geología,"Lima, LIM","September 25, 2014",Mucho trabajo y presión constante. Coordinación con la gerencia corporativa y soporte en con el equipo de oportunidades de negocio a nivel mundial., , 
246,Productive,Senior Business Analyst,"Rustenburg, NW","September 17, 2014","With 10 years' experience in Information Systems Management in the mining industry – I currently report to the Business System Manager at the largest ferrochrome producer in the World, Glencore Operations South Africa – Ferro Alloys that merged with Xstrata in May 2013.  I started my career in Graphic Design, moved into the Information Systems (IS) space 10 years ago and have been involved in numerous projects including the implementation of Systems Applications Products (SAP) at the Alloys business. I have a very good understanding of the business processes within the mining industry, I have been able to work effectively from a strategic business planning perspective and have effectively engaged and managed teams within the business and support partner teams",Career driven,Long hours
247,Buena empresa de la mediana minería,Superintendente de Mantención Mina,"Antofagasta, AN","September 16, 2014","Muy buena empresa, falta definir una identidad cultural propia debido a la cantidad de dueños que ha tenido.",Se debe utilizar todo el ingenio y conocimiento tecnico a diario,recursos escasos
248,"Chaotic but fun, laborious after a while",General Manager,"Baar, ZG","September 8, 2014","Sometimes hard to see the forest for the treesBaar is the centre of where things happen, but little sense of strategic thinking and poor governance", , 
249,good place to gain experience,miner,"Brits, NW","September 2, 2014",learned how to cope with real bad ground condistions .learned how to deal with people of diffrent backgrounds,of time over december,long working hours
250,"It was a great experience to work there you always knew what you were doing for the day after pass meeting, always on top of safety",Dump Truck Operator,"Newlands, N","August 26, 2014",My experience working with Glencore was good would go back if position came up, , 
251,Very interesting and amazing,Fitting/Boiler Making,"Mount Isa, QLD","August 24, 2014",Glencore is a very interesting place to complete work experience because I had never been on a mine site prior and so I was very interested in everything going on around me. I was also an amazing experience in that i got to meet some very kind and knowledgeable people who taught me a great deal about my preferred trade and some good tips for in the future.,"Uniforms is free, they provide showering facilities, they have a laundry operation for free also.",Parking area is quite small.
253,muy bueno el ambiente de trabajo,superintendente de relaciones comunitarias,"Cusco, CUS","August 11, 2014",demasaiado movimiento en el trabajoapredi a negociar mucho mejor las tierrasmuy buen apoyofalta capaciatar a los colegasrealizar reasentamientohabaer relacionadao con otros profesionales de otros paises,seguro medico privado,poca comunicacion con la gerencia general
254,Ambiente Laboral excelente,Superintendente de Proyectos,"Santiago de Surco, LIM","August 6, 2014",Gerencia de primer nivel. Oportunidades de crecimiento a nivel internacional. Vida familiar afectada parcialmente,"Eps, Utilidades",Exceso de viajes
255,Very nice and large organization,Head of finance for consolidated group,London,"August 4, 2014","I really enjoy working at Glencore, this large organization makes a lots of challenges comes to you and helps to reinvent yourself on a daily basis.", , 
256,"Personally rewarding position wise, with more ups than downs.",Longwall deputy,"Singleton, NSW","August 3, 2014",I have enjoyed working at Ravensworth Underground Mine. With the mine currently going to Care and Maintenance we are forced to seek alternate employment. The experience gained within the Long Wall has been challenging and personally rewarding with job satisfaction. To mould my crew into a safe and productive team. Management have been more than supportive along the way. If and when the mine reopens i would certainly apply to work there again.,Four day midweek roster was certainly a plus to work., 
257,Good company to work for,Group Financial Accountant,"Witbank, MP","July 16, 2014",•a typical day at work•what you learned•management•your co-workers•the hardest part of the job•the most enjoyable part of the job, , 
258,Great experience,Environmental Technician Student,"Falconbridge, ON","June 25, 2014","Every day i would take water samples, air samples, as well as weekly soil, waste rock and tail gas samples. It was where i gained the most knowledge and experience.",Free overtime lunches,Very warm indoors around cyclones.
259,Great work environment,Pelletising Operator,"Rustenburg, NW","June 25, 2014",Great people and work culture. Management and co-workers care about each other and aren't afraid to go the extra mile., , 
260,Productive and Great place to work,Engineering,"Rustenburg, NW","June 17, 2014",I work 8hour shift.Daily safety rules is what they teach us.The management is very strickedGet along with my co workers and work as a teamBreakdown with minimun assistance are very unfair!,Free cold drinks and lunches,Demanding overtime hours
261,Most enjoyable part of the job,Buisness Analyst Payroll,"Rustenburg, NW","June 17, 2014",The most enjoyable part of the job is getting an error in payroll in time.  Investigate in the SAP find the problem.,Working from home,"Merger with another company, causing retrenchments or either job change"
262,Mt Isa in not the greatest place in the world but the work was constant,FACILITIES ELECTRICIAN,"Brisbane, QLD","June 8, 2014",Good roster 2/1 . Good people to work with. Camp facilities are not great but are ok,Town is close,Mt Isa!!
263,"You are here to work and are highly reworded if you do not like it, leave, we will get someone to replace you",Planner Coordinator,"Steelpoort, LP","May 25, 2014",Very high job security with top salary and excellent benefits.No interest in employees emotional well-being.,Very high job security with top salary and excellent benefits,Watch your back and your tongue.
264,"Productive,fun",Junior Business Partner/ Junior HR Practitioner,"Rustenburg, NW","May 22, 2014",A typical day at glencore would be mostly dealing with employees and quieries.Teamwork is also important,Teambuilding,Management
265,Uma Empresa magnífica para se trabalhar e crescer profissionalmente.,Gerente de Informática,"São Paulo, SP","May 17, 2014","Um ambiente de trabalho dinâmico.Aprendi muito sobre relacionamento com pessoas, com empresas, com filiais de outros estados e com a gerencia e diretoria da Europa e América Latina.O diretores muito capazes e solidários.Os colegas sempre prestativos e motivados.A parte mais difícil do trabalho, foi as resistências internas às novas determinações da diretoria, para desenvolvimento de programas de controle e acompanhamento.A parte mais agradável foi ver os resultados e o reconhecimento final pelas diretorias.", , 
266,Great people to work both with and for.,Student Process Engineer,"Belledune, NB","April 10, 2014","When I worked at the Brunswick Smelter as a student, I was given a large amount of responsibility with respect to leading projects and pursuing them to completion, with excellent help along the way.", , 
267,Very good place to work have progressed my career a lot here,Rope Shovel & other equipment ERT/EMT Member,Rolleston,"April 5, 2014","Good job have had lots of opportunity's learn t heaps, great camp good roster", , 
268,Productive orientated and fun environment,general worker,"Rustenburg, NW","March 31, 2014",The working environment resembles a family conditions. Management always ensures the safety of all employees by continuously hosting safety workshops.What i learned:Safety is a priority and it only takes one blink of a eye to loss a life or a figure.Management:Senior management encourages and rewards safety practicesHardest part:Been caught in the crossfire between management but been used as a pawn for power mongers.the most enjoyable part of the job:Been able to be giving an opportunity to use your discretion within the safety policies of the organisation,Social activities by hosting soccer tournament on a second month basis,casual workers aren't given the same respect as permanent workers
269,Démarrage de l'usine.,opérateur expert,"Koné, DTM","March 26, 2014","Nous sommes en démarrage de l'usine, je doit former les gens locaux et les aidés à démarrer l'usine, remplacer les chefs de quart lorsqu'ils sont en vacance, faire de la consignation des équipement et émettre des permis de travail lorsqu'il le faut, j'ai plusieurs cours sur les engins (cases), tel que chargeuse, chariot élévateur, Kress et mini-chargeuse. J'ai de bon contact avec mes supérieurs et j'aime travailler en équipe, je suis une personne dynamique et responsable, j' aime les défis et de les accomplir.     L'aspect  le plus difficile est la température du pays donc il fait très chaud pendant le travail et l'aspect le plus agréable est le contact humain avec la communauté du pays ou je me situe.",Bonus de l'année,Température dane se pays (très chaud)
270,My work.,EQUIPMENT OPERATOR,Belledune NB,"March 26, 2014","Busy day at work, how to operate machinery, management did their job and I did mine, I got alone wonderful with my co-workers.Night shift was the hard part for me. Operating machinery, I loved driving the machinery and learning daily new things.",good people to work with,management changed hands to many times.
271,Take time management to the extreme,Maintenance Fitter in kiln and leach area,Fitter,"March 24, 2014",InvocomMy co-workers are great to work withActing foreman and charge hand are trying there best, , 
272,It is overall a good organisation,C&I Technician,Mpumalanga,"March 20, 2014","*Identify gaps for system and process continious improvement.*im part of a team that is hard-working from different backgrounds which presents an opportunity for me to learn about diversity.*I wish management could just give me a proper platform to provide them with what im hired for.*red-tapes*Freedom to implement what i specialise in, within constraints ofcourse.",Incentives,Personality clashes
274,Excelente centro laboral y de promoción para el personal.,Graduado de Operaciones Mina (Supervisor),APU,"March 8, 2014",* movimiento de material de los diferentes niveles.* Manejo adecuado del personal y supervisión de maquinaria pesada en los diferentes trabajos.* La gerencia apoya en todo momento a los supervisores con los trabajos.* los Colegas y compañeros de trabajo se muestran colaboradores y abiertos a solucionar problemas.* Las paras por conflictos sociales que se van agudizando constantemente.*El ambiente de trabajo y las oportunidades que brinda la empresa para poder hacer una carrera.,Seguros que te brinda la Empresa,Los paros por comunidades.
275,great place to work,Fixed Plant Operator,mount isa,"March 7, 2014","they look after you , and treat you very good. They have taught me a lot of new things .",great place to work,no FIFO work in mount isa
276,Productive and Studying,Senior Planning Engineer,"Central Shaft - Nkana Site, Kitwe","February 19, 2014","A day starts with morning meetings to plan the day activities with the Underground Manager/Head Planning There after attend to mining officials who need technical Layouts and other recommendations. Have a meeting with other technical officials such as Geologist, Surveyors, Rock-mechanics Engineer and Blasting Engineer to review pending works and track the progress.I have learned to manage my team and to be a leader.I have been in management for 5 months now and i have learned a lot.I learned to understand people and work with everyone professionally.I was required to attend a lot of meetings at the same time.Team work corporation was the most enjoyable.",Training programmes,Work load at times can be excessive
277,"Divertido, con oportunidad de aprendizaje",Operador de Planta,"Yauri, CUS","February 16, 2014","Se aprende en varios niveles es posible aprender toda la operacion de la planta en tan solo 2 años de trabajo, y conocer todos los puestos de trabajo",Seguro medico muy bueno,Como toda planta el cuidado de la salud es la prioridad.
278,Challenging place to work at,Senior Planner,"Belledune, NB","February 15, 2014",Normal work hours are 8-4shift work is 12 hr days & nightsDealing with Management is the hardest part of the dayExcellent co-workers,Good benefits,No vision
279,Exception people and professionals,"Mechanical,Maintenance,Hydraulic,Winder Fitter","Mount Isa, QLD","February 13, 2014","Excellent company to work for, highly recommended to anyone. Credit to everyone employed there.",Pride in the company and professionalism,nil.
280,Empresa muy seria de nivel internacional.,Superintendente Construcción de Tuberías,"La Mina, LAS BAMBAS","February 13, 2014","- Siempre se está en mucha actividad.- Tener paciencia con los contratistas y entenderles sus problemas que no deberian existir.- La gerencia es muy competente y de mucha experiencia.- Mis colegas tambien de mucha experiencia , otros en proceso de aprendisaje.- Esforzarse con efectuar los cumplimientos contractuales sobre todo cumplir con los objetivos de los cronogramas.- Terminar el proyecto antes de lo programado.",Seguro LA POSITIVA Sanitas,Se toma los dscansos apropiados.
281,pre-strugling of the best team,Metallurgisst-Trainee,"Witbank, MP","February 10, 2014","The day i was appointed to be the section leader for the flocculent and thickeners plant, i learned that old peoples sometimes have a problem when receiving instructions from the young leader, to manage that, i made every one in the section to feel that we are just working as a team and the contribution of every one in the team is important to the outcome, after all of my co-employers realised that, we had a strong team that always reached their objectives, the hardest part of the job was when coming to share my troubleshooting of the plant problems using the technical science approach, since all of my co-employees in my section were un-educated. after all of my co-employees grabed the technical approach of running the section, that is when i started enjoying the job", , 
282,Environnement de travail Agréable,Supervisuer de production,"Montreal-est, QC","February 4, 2014","Très bonne compagnie, très bonne organisation.Travail avec les employés à résoudre les problèmes à court, moyen longterme.Constamment en amélioration continue.Très bon travail d'équipe","Très bonne compagnie, très bonne organisation.",Peu de point négatif
283,Excellent,"IT Project Manager - Mt Isa, QLD",Mt. Isa,"February 2, 2014","I love what I do as a project manager, working with diverse teams and key stakeholders. Also providing leadership and management on key business critical projects with tight time constraints. The reward in delivering a project within scope, quality and budget is what satisfies me as a project manager.", , 
284,First real workplace,Investment document controller,Budapest,"February 1, 2014",This is my first professional workplace. I realy enjoy to work here. The job is very challenging and varied., , 
285,productive,Mechanical Fitter,Drill mechanic,"January 30, 2014","I learn almost everything by myself were I do not understand I ask or call, my co-workers are not greedy they show you how to do the job they are helpful the hardest part, was in midnight when you think you wiill wake someone up call your supervisor he will not worry about waking up its part of his job better mantain a good relatoinship with your co-workers.", , 
286,"A good company to work for, with good learning opportunities",Treasury Accountant,"Toronto, ON","January 28, 2014","Glencore is global mining giant with metals and agriculture departments. My role has well-rounded responsibilities, interacting with finance, commercial groups and others.", , 
287,Contract on limited time basis and bugget limits,Electrical Site Manager,"Steelpoort, LP","January 20, 2014",Hard contract as the other contractors were constantly behind schedule making access dificult but we managed to pull through.,Long hours which meant financial gain,None
288,Go big!,"Draughting, Mine Planning and mining projects","Rustenburg, NW","January 15, 2014","I love working on projects, there is nothing so satisfying to see all you planning coming together bit by bit and forming an outstanding end master piece!I love managing projects, working in a group and motivating people.  Coffee is a must for me in the morning!  :-)  and a positve attitude!Every day is a learning curve in my life I want to grow every day, in my job and in my life!",Medical Aid,Bonus system not that good
289,great place to work,Data entry/driver/weight master,"San Jose, CA","January 8, 2014",great co workers and managmentgreat hr and daysgreat place,everything,none
290,Exciting Employee,Accounts Payable,"Stamford, CT","January 7, 2014",Glencore Ltd. is an awesome employee offering excellent benefit packages as well as incentives to pursure continuing education and other great things. My management in the cotton division was wonderful., ,"Relocated to Stamford, Ct"
291,Good life / work balance,Superintendent of Continuous Improvement,"Mount Isa, QLD","January 7, 2014","8 - 10 hours/day- 50% in Office and 50% in operational areasMeeting frontline employees to identify with there positions, understand where there jobs fit in the process and discussing potential improvement opportunities for their roles.Management provided the mentoring support required in my role and ensured I understood the processes and procedures to ensure there was a strong focus on working safely.Exceptional group of co-workers who were experts in their own fields but who had a clear understanding of how all their roles integrated to provide an efficient and effective mining process.Hardest part of my job was introducing a culture of continuous improvement to a well established work culture that was somewhat resistant to change.Successful introduction of improvement ideas that made a visible, economic and efficiency improvement to a system or process.",Living in a mining town that I could go home to each day,"Distance from the coast, family and friends."
292,Great co-workers,"Manager, Financial Reporting, Zinc Operations","Toronto, ON","December 11, 2013","The co-workers at the company are fantastic, always willing to help and learn.", , 
293,productive and safety,Trainee Engineer,"Steelpoort, LP","December 11, 2013","when you're on standby as a first call and the plant starting not to run accordingly I have learn how to work with different people some are older than you and you have to make them listen to you. Management is always updated and knows the plant very well and also knows what's right for the company very interesting and hard working people and I've learned so much from them, my first production presentation in front of all management from works manager until sectional managers. when reached the target and set a new record on production and 100% no harm.",team building,long hours
295,"Es una empresa que se esfuerza por dar condiciones de trabajo,  sin embargo, las Relaciones comunitarias se deben enfocar de mejor manera",Súper Intendente de Relaciones Institucionales,"Yauri, CUS","December 8, 2013",Es una empresa que te da las condiciones materiales necesarias para desarrollar adecuadamente tú trabajo,la gente con que trabajas tiene mucho compromiso de trabajo,las guardias no se respeta
296,Job security and fun workplace,Electrician,"Brits, NW","December 2, 2013",I work productively for the whole day. Enjoy to spent time with friends and co-workers after hours. I work with management to increase and promote production. I enjoy sorting out problems.,Friendly but strict workplace,Unprofessional co-workers
297,Buena,COORDINADOR DE VIABIALAIDAD SOCIAL REGIONAL,APURIMAC,"November 27, 2013","Planes diarios planificados un dia antes,, seguimiento constante en campo y en laboratorio de resultados.Proyecccion de trabajos para futuro",Aprendizaje constante,Calidad de vida
298,"Ok place to work, but definitely not a Fortune company",Business Development Associate,"Stamford, CT","November 26, 2013","Jobs at Glencore are just jobs. They aren't rewarding, you won't feel like you're making a difference or in a ""team atmosphere"". You have your piece of the puzzle. If you do it well, nobody cares; if you screw up, you might get chewed out, but probably nobody cares. Do yourself a favor and just blend in. Get there 15 min early, leave 15 min late, take your lunch and don't ask for anything new. And definitely don't expect training, that's four letter word at Glencore.Regular management is ok. They do their jobs well and try not to take on any added responsibility. Upper management is a total disgrace.",Job security. Once hired ppl are rarely fired,Unmotivated workforce. Poor Upper Management team.
299,More productive cost saving,Process Supervisor,"Steelpoort, LP","November 19, 2013","When I had an interview with the works manager, he appreciated my growth in the team. That Day I learned the importance Batching section to be the heart of Glencore Xstrata lion ferrochrome, e.g I have to check contamination of the material and report, ensure the recipie is correct and check the Cr:Fe ratio's and the Combination of Chrome and sillica to be correct in the mixture. my co-workers are heroes they know their story. the hardest part of the job is when the plant is running out of the limits, it is enjoyable to get the plant to a stable condition in a less time.", , 
300,Interesting place to work,Road maintenance -Glencore Xstrata Mount Isa Mines,"Mount Isa, QLD","November 3, 2013",As there is no typical day at work due to the various shifts and work crews the only typical thing I diligently do each day is water the roads underground to enable the miners and other workers to operate in a more climatic and health controlled environment.,Money,Tedious routine lacking in personal satisfaction
